,Ticker,Date,variable,Value
15344,ADRO,2016-10-14,Low,1390
15345,ADRO,2016-10-17,Low,1435
15346,ADRO,2016-10-18,Low,1440
15347,ADRO,2016-10-19,Low,1485
15348,ADRO,2016-10-20,Low,1505
15349,ADRO,2016-10-21,Low,1450
15350,ADRO,2016-10-24,Low,1495
15351,ADRO,2016-10-25,Low,1520
15352,ADRO,2016-10-26,Low,1545
15353,ADRO,2016-10-27,Low,1535
15354,ADRO,2016-10-28,Low,1555
15355,ADRO,2016-10-31,Low,1555
15356,ADRO,2016-11-01,Low,1605
15357,ADRO,2016-11-02,Low,1645
15358,ADRO,2016-11-03,Low,1630
15359,ADRO,2016-11-04,Low,1580
15360,ADRO,2016-11-07,Low,1675
15361,ADRO,2016-11-08,Low,1610
15362,ADRO,2016-11-09,Low,1475
15363,ADRO,2016-11-10,Low,1610
15364,ADRO,2016-11-11,Low,1550
15365,ADRO,2016-11-14,Low,1605
15366,ADRO,2016-11-15,Low,1465
15367,ADRO,2016-11-16,Low,1490
15368,ADRO,2016-11-17,Low,1500
15369,ADRO,2016-11-18,Low,1480
15370,ADRO,2016-11-21,Low,1480
15371,ADRO,2016-11-22,Low,1550
15372,ADRO,2016-11-23,Low,1595
15373,ADRO,2016-11-24,Low,1620
15374,ADRO,2016-11-25,Low,1635
15375,ADRO,2016-11-28,Low,1645
15376,ADRO,2016-11-29,Low,1630
15377,ADRO,2016-11-30,Low,1530
15378,ADRO,2016-12-01,Low,1580
15379,ADRO,2016-12-02,Low,1615
15380,ADRO,2016-12-05,Low,1665
15381,ADRO,2016-12-06,Low,1720
15382,ADRO,2016-12-07,Low,1660
15383,ADRO,2016-12-08,Low,1620
15384,ADRO,2016-12-09,Low,1665
15385,ADRO,2016-12-13,Low,1675
15386,ADRO,2016-12-14,Low,1685
15387,ADRO,2016-12-15,Low,1665
15388,ADRO,2016-12-16,Low,1660
15389,ADRO,2016-12-19,Low,1675
15390,ADRO,2016-12-20,Low,1665
15391,ADRO,2016-12-21,Low,1670
15392,ADRO,2016-12-22,Low,1650
15393,ADRO,2016-12-23,Low,1655
15394,ADRO,2016-12-27,Low,1665
15395,ADRO,2016-12-28,Low,1675
15396,ADRO,2016-12-29,Low,1680
15397,ADRO,2016-12-30,Low,1660
15398,ADRO,2017-01-03,Low,1685
15399,ADRO,2017-01-04,Low,1690
15400,ADRO,2017-01-05,Low,1660
15401,ADRO,2017-01-06,Low,1655
15402,ADRO,2017-01-09,Low,1685
15403,ADRO,2017-01-10,Low,1680
15404,ADRO,2017-01-11,Low,1700
15405,ADRO,2017-01-12,Low,1715
15406,ADRO,2017-01-13,Low,1685
15407,ADRO,2017-01-16,Low,1700
15408,ADRO,2017-01-17,Low,1680
15409,ADRO,2017-01-18,Low,1715
15410,ADRO,2017-01-19,Low,1715
15411,ADRO,2017-01-20,Low,1715
15412,ADRO,2017-01-23,Low,1720
15413,ADRO,2017-01-24,Low,1725
15414,ADRO,2017-01-25,Low,1725
15415,ADRO,2017-01-26,Low,1700
15416,ADRO,2017-01-27,Low,1700
15417,ADRO,2017-01-30,Low,1705
15418,ADRO,2017-01-31,Low,1695
15419,ADRO,2017-02-01,Low,1705
15420,ADRO,2017-02-02,Low,1725
15421,ADRO,2017-02-03,Low,1720
15422,ADRO,2017-02-06,Low,1730
15423,ADRO,2017-02-07,Low,1730
15424,ADRO,2017-02-08,Low,1705
15425,ADRO,2017-02-09,Low,1705
15426,ADRO,2017-02-10,Low,1685
15427,ADRO,2017-02-13,Low,1670
15428,ADRO,2017-02-14,Low,1615
15429,ADRO,2017-02-16,Low,1660
15430,ADRO,2017-02-17,Low,1660
15431,ADRO,2017-02-20,Low,1670
15432,ADRO,2017-02-21,Low,1700
15433,ADRO,2017-02-22,Low,1665
15434,ADRO,2017-02-23,Low,1685
15435,ADRO,2017-02-24,Low,1690
15436,ADRO,2017-02-27,Low,1695
15437,ADRO,2017-02-28,Low,1675
15438,ADRO,2017-03-01,Low,1665
15439,ADRO,2017-03-02,Low,1675
15440,ADRO,2017-03-03,Low,1665
15441,ADRO,2017-03-06,Low,1680
15442,ADRO,2017-03-07,Low,1675
15443,ADRO,2017-03-08,Low,1690
15444,ADRO,2017-03-09,Low,1670
15445,ADRO,2017-03-10,Low,1590
15446,ADRO,2017-03-13,Low,1565
15447,ADRO,2017-03-14,Low,1640
15448,ADRO,2017-03-15,Low,1630
15449,ADRO,2017-03-16,Low,1660
15450,ADRO,2017-03-17,Low,1675
15451,ADRO,2017-03-20,Low,1675
15452,ADRO,2017-03-21,Low,1695
15453,ADRO,2017-03-22,Low,1690
15454,ADRO,2017-03-23,Low,1720
15455,ADRO,2017-03-24,Low,1745
15456,ADRO,2017-03-27,Low,1780
15457,ADRO,2017-03-29,Low,1800
15458,ADRO,2017-03-30,Low,1800
15459,ADRO,2017-03-31,Low,1750
15460,ADRO,2017-04-03,Low,1775
15461,ADRO,2017-04-04,Low,1855
15462,ADRO,2017-04-06,Low,1840
15463,ADRO,2017-04-07,Low,1865
15464,ADRO,2017-04-10,Low,1870
15465,ADRO,2017-04-11,Low,1850
15466,ADRO,2017-04-12,Low,1855
15467,ADRO,2017-04-13,Low,1860
15468,ADRO,2017-04-17,Low,1850
15469,ADRO,2017-04-18,Low,1830
15470,ADRO,2017-04-20,Low,1835
15471,ADRO,2017-04-21,Low,1815
15472,ADRO,2017-04-25,Low,1820
15473,ADRO,2017-04-26,Low,1785
15474,ADRO,2017-04-27,Low,1820
15475,ADRO,2017-04-28,Low,1770
15476,ADRO,2017-05-02,Low,1720
15477,ADRO,2017-05-03,Low,1625
15478,ADRO,2017-05-04,Low,1610
15479,ADRO,2017-05-05,Low,1560
15480,ADRO,2017-05-08,Low,1575
15481,ADRO,2017-05-09,Low,1510
15482,ADRO,2017-05-10,Low,1460
15483,ADRO,2017-05-12,Low,1475
15484,ADRO,2017-05-15,Low,1440
15485,ADRO,2017-05-16,Low,1460
15486,ADRO,2017-05-17,Low,1410
15487,ADRO,2017-05-18,Low,1395
15488,ADRO,2017-05-19,Low,1430
15489,ADRO,2017-05-22,Low,1415
15490,ADRO,2017-05-23,Low,1445
15491,ADRO,2017-05-24,Low,1450
15492,ADRO,2017-05-26,Low,1460
15493,ADRO,2017-05-29,Low,1465
15494,ADRO,2017-05-30,Low,1455
15495,ADRO,2017-05-31,Low,1445
15496,ADRO,2017-06-02,Low,1465
15497,ADRO,2017-06-05,Low,1490
15498,ADRO,2017-06-06,Low,1545
15499,ADRO,2017-06-07,Low,1590
15500,ADRO,2017-06-08,Low,1575
15501,ADRO,2017-06-09,Low,1555
15502,ADRO,2017-06-12,Low,1540
15503,ADRO,2017-06-13,Low,1540
15504,ADRO,2017-06-14,Low,1590
15505,ADRO,2017-06-15,Low,1635
15506,ADRO,2017-06-16,Low,1585
15507,ADRO,2017-06-19,Low,1555
15508,ADRO,2017-06-20,Low,1580
15509,ADRO,2017-06-21,Low,1595
15510,ADRO,2017-06-22,Low,1575
15511,ADRO,2017-07-03,Low,1565
15512,ADRO,2017-07-04,Low,1575
15513,ADRO,2017-07-05,Low,1600
15514,ADRO,2017-07-06,Low,1615
15515,ADRO,2017-07-07,Low,1610
15516,ADRO,2017-07-10,Low,1585
15517,ADRO,2017-07-11,Low,1595
15518,ADRO,2017-07-12,Low,1600
15519,ADRO,2017-07-13,Low,1615
15520,ADRO,2017-07-14,Low,1630
15521,ADRO,2017-07-17,Low,1660
15522,ADRO,2017-07-18,Low,1685
15523,ADRO,2017-07-19,Low,1700
15524,ADRO,2017-07-20,Low,1750
15525,ADRO,2017-07-21,Low,1795
15526,ADRO,2017-07-24,Low,1775
15527,ADRO,2017-07-25,Low,1790
15528,ADRO,2017-07-26,Low,1800
15529,ADRO,2017-07-27,Low,1760
15530,ADRO,2017-07-28,Low,1790
15531,ADRO,2017-07-31,Low,1785
15532,ADRO,2017-08-01,Low,1825
15533,ADRO,2017-08-02,Low,1840
15534,ADRO,2017-08-03,Low,1840
15535,ADRO,2017-08-04,Low,1830
15536,ADRO,2017-08-07,Low,1830
15537,ADRO,2017-08-08,Low,1845
15538,ADRO,2017-08-09,Low,1805
15539,ADRO,2017-08-10,Low,1815
15540,ADRO,2017-08-11,Low,1820
15541,ADRO,2017-08-14,Low,1825
15542,ADRO,2017-08-15,Low,1850
15543,ADRO,2017-08-16,Low,1840
15544,ADRO,2017-08-18,Low,1850
15545,ADRO,2017-08-21,Low,1850
15546,ADRO,2017-08-22,Low,1850
15547,ADRO,2017-08-23,Low,1865
15548,ADRO,2017-08-24,Low,1945
15549,ADRO,2017-08-25,Low,1935
15550,ADRO,2017-08-28,Low,1885
15551,ADRO,2017-08-29,Low,1850
15552,ADRO,2017-08-30,Low,1870
15553,ADRO,2017-08-31,Low,1825
15554,ADRO,2017-09-04,Low,1785
15555,ADRO,2017-09-05,Low,1785
15556,ADRO,2017-09-06,Low,1865
15557,ADRO,2017-09-07,Low,1840
15558,ADRO,2017-09-08,Low,1860
15559,ADRO,2017-09-11,Low,1875
15560,ADRO,2017-09-12,Low,1860
15561,ADRO,2017-09-13,Low,1680
15562,ADRO,2017-09-14,Low,1720
15563,ADRO,2017-09-15,Low,1700
15564,ADRO,2017-09-18,Low,1750
15565,ADRO,2017-09-19,Low,1805
15566,ADRO,2017-09-20,Low,1835
15567,ADRO,2017-09-22,Low,1815
15568,ADRO,2017-09-25,Low,1755
15569,ADRO,2017-09-26,Low,1710
15570,ADRO,2017-09-27,Low,1630
15571,ADRO,2017-09-28,Low,1665
15572,ADRO,2017-09-29,Low,1730
15573,ADRO,2017-10-02,Low,1765
15574,ADRO,2017-10-03,Low,1745
15575,ADRO,2017-10-04,Low,1810
15576,ADRO,2017-10-05,Low,1830
15577,ADRO,2017-10-06,Low,1830
15578,ADRO,2017-10-09,Low,1850
15579,ADRO,2017-10-10,Low,1860
15580,ADRO,2017-10-11,Low,1860
15581,ADRO,2017-10-12,Low,1895
15582,ADRO,2017-10-13,Low,1865
15583,ADRO,2017-10-16,Low,1855
15584,ADRO,2017-10-17,Low,1880
15585,ADRO,2017-10-18,Low,1865
15586,ADRO,2017-10-19,Low,1860
15587,ADRO,2017-10-20,Low,1790
15588,ADRO,2017-10-23,Low,1830
15589,ADRO,2017-10-24,Low,1855
15590,ADRO,2017-10-25,Low,1870
15591,ADRO,2017-10-26,Low,1825
15592,ADRO,2017-10-27,Low,1835
15593,ADRO,2017-10-30,Low,1835
15594,ADRO,2017-10-31,Low,1825
15595,ADRO,2017-11-01,Low,1850
15596,ADRO,2017-11-02,Low,1885
15597,ADRO,2017-11-03,Low,1895
15598,ADRO,2017-11-06,Low,1870
15599,ADRO,2017-11-07,Low,1895
15600,ADRO,2017-11-08,Low,1815
15601,ADRO,2017-11-09,Low,1800
15602,ADRO,2017-11-10,Low,1810
15603,ADRO,2017-11-13,Low,1810
15604,ADRO,2017-11-14,Low,1810
15605,ADRO,2017-11-15,Low,1735
15606,ADRO,2017-11-16,Low,1695
15607,ADRO,2017-11-17,Low,1765
15608,ADRO,2017-11-20,Low,1750
15609,ADRO,2017-11-21,Low,1715
15610,ADRO,2017-11-22,Low,1720
15611,ADRO,2017-11-23,Low,1725
15612,ADRO,2017-11-24,Low,1690
15613,ADRO,2017-11-27,Low,1685
15614,ADRO,2017-11-28,Low,1680
15615,ADRO,2017-11-29,Low,1720
15616,ADRO,2017-11-30,Low,1700
15617,ADRO,2017-12-04,Low,1730
15618,ADRO,2017-12-05,Low,1750
15619,ADRO,2017-12-06,Low,1755
15620,ADRO,2017-12-07,Low,1700
15621,ADRO,2017-12-08,Low,1700
15622,ADRO,2017-12-11,Low,1695
15623,ADRO,2017-12-12,Low,1715
15624,ADRO,2017-12-13,Low,1810
15625,ADRO,2017-12-14,Low,1785
15626,ADRO,2017-12-15,Low,1790
15627,ADRO,2017-12-18,Low,1790
15628,ADRO,2017-12-19,Low,1800
15629,ADRO,2017-12-20,Low,1795
15630,ADRO,2017-12-21,Low,1815
15631,ADRO,2017-12-22,Low,1855
15632,ADRO,2017-12-27,Low,1890
15633,ADRO,2017-12-28,Low,1870
15634,ADRO,2017-12-29,Low,1845
15635,ADRO,2018-01-02,Low,1865
15636,ADRO,2018-01-03,Low,1810
15637,ADRO,2018-01-04,Low,1850
15638,ADRO,2018-01-05,Low,1935
15639,ADRO,2018-01-08,Low,1975
15640,ADRO,2018-01-09,Low,2140
15641,ADRO,2018-01-10,Low,2150
15642,ADRO,2018-01-11,Low,2140
15643,ADRO,2018-01-12,Low,2190
15644,ADRO,2018-01-15,Low,2210
15645,ADRO,2018-01-16,Low,2150
15646,ADRO,2018-01-17,Low,2130
15647,ADRO,2018-01-18,Low,2150
15648,ADRO,2018-01-19,Low,2160
15649,ADRO,2018-01-22,Low,2210
15650,ADRO,2018-01-23,Low,2350
15651,ADRO,2018-01-24,Low,2380
15652,ADRO,2018-01-25,Low,2420
15653,ADRO,2018-01-26,Low,2410
15654,ADRO,2018-01-29,Low,2440
15655,ADRO,2018-01-30,Low,2460
15656,ADRO,2018-01-31,Low,2450
15657,ADRO,2018-02-01,Low,2360
15658,ADRO,2018-02-02,Low,2320
15659,ADRO,2018-02-05,Low,2390
15660,ADRO,2018-02-06,Low,2420
15661,ADRO,2018-02-07,Low,2390
15662,ADRO,2018-02-08,Low,2390
15663,ADRO,2018-02-09,Low,2300
15664,ADRO,2018-02-12,Low,2330
15665,ADRO,2018-02-13,Low,2370
15666,ADRO,2018-02-14,Low,2410
15667,ADRO,2018-02-15,Low,2460
15668,ADRO,2018-02-19,Low,2450
15669,ADRO,2018-02-20,Low,2410
15670,ADRO,2018-02-21,Low,2430
15671,ADRO,2018-02-22,Low,2430
15672,ADRO,2018-02-23,Low,2460
15673,ADRO,2018-02-26,Low,2370
15674,ADRO,2018-02-27,Low,2350
15675,ADRO,2018-02-28,Low,2350
15676,ADRO,2018-03-01,Low,2370
15677,ADRO,2018-03-02,Low,2290
15678,ADRO,2018-03-05,Low,2300
15679,ADRO,2018-03-06,Low,2300
15680,ADRO,2018-03-07,Low,2150
15681,ADRO,2018-03-08,Low,1995
15682,ADRO,2018-03-09,Low,2110
15683,ADRO,2018-03-12,Low,2170
15684,ADRO,2018-03-13,Low,2130
15685,ADRO,2018-03-14,Low,2060
15686,ADRO,2018-03-15,Low,2020
15687,ADRO,2018-03-16,Low,2000
15688,ADRO,2018-03-19,Low,2020
15689,ADRO,2018-03-20,Low,2000
15690,ADRO,2018-03-21,Low,2030
15691,ADRO,2018-03-22,Low,2000
15692,ADRO,2018-03-23,Low,1945
15693,ADRO,2018-03-26,Low,1990
15694,ADRO,2018-03-27,Low,2030
15695,ADRO,2018-03-28,Low,2020
15696,ADRO,2018-03-29,Low,2030
15697,ADRO,2018-04-02,Low,2110
15698,ADRO,2018-04-03,Low,2080
15699,ADRO,2018-04-04,Low,2030
15700,ADRO,2018-04-05,Low,2010
15701,ADRO,2018-04-06,Low,2000
15702,ADRO,2018-04-09,Low,2020
15703,ADRO,2018-04-10,Low,2050
15704,ADRO,2018-04-11,Low,2110
15705,ADRO,2018-04-12,Low,2110
15706,ADRO,2018-04-13,Low,2110
15707,ADRO,2018-04-18,Low,2080
15708,ADRO,2018-04-23,Low,2210
15709,ADRO,2018-04-24,Low,2180
15710,ADRO,2018-04-30,Low,1835
15711,ADRO,2018-05-02,Low,1770
15712,ADRO,2018-05-03,Low,1595
15713,ADRO,2018-05-04,Low,1625
15714,ADRO,2018-05-07,Low,1605
15715,ADRO,2018-05-08,Low,1615
15716,ADRO,2018-05-09,Low,1575
15717,ADRO,2018-05-11,Low,1700
15718,ADRO,2018-05-14,Low,1640
15719,ADRO,2018-05-15,Low,1650
15720,ADRO,2018-05-16,Low,1665
15721,ADRO,2018-05-17,Low,1815
15722,ADRO,2018-05-18,Low,1865
15723,ADRO,2018-05-21,Low,1880
15724,ADRO,2018-05-22,Low,1905
15725,ADRO,2018-05-23,Low,1825
15726,ADRO,2018-05-24,Low,1800
15727,ADRO,2018-05-25,Low,1830
15728,ADRO,2018-05-28,Low,1795
15729,ADRO,2018-05-30,Low,1815
15730,ADRO,2018-05-31,Low,1870
15731,ADRO,2018-06-04,Low,1915
15732,ADRO,2018-06-05,Low,1990
15733,ADRO,2018-06-06,Low,1985
15734,ADRO,2018-06-07,Low,1980
15735,ADRO,2018-06-08,Low,1935
15736,ADRO,2018-06-20,Low,1830
15737,ADRO,2018-06-21,Low,1965
15738,ADRO,2018-06-22,Low,1905
15739,ADRO,2018-06-25,Low,1865
15740,ADRO,2018-06-26,Low,1755
15741,ADRO,2018-06-27,Low,1705
15742,ADRO,2018-06-28,Low,1650
15743,ADRO,2018-06-29,Low,1665
15744,ADRO,2018-07-02,Low,1735
15745,ADRO,2018-07-03,Low,1690
15746,ADRO,2018-07-04,Low,1690
15747,ADRO,2018-07-05,Low,1745
15748,ADRO,2018-07-06,Low,1775
15749,ADRO,2018-07-09,Low,1795
15750,ADRO,2018-07-10,Low,1830
15751,ADRO,2018-07-11,Low,1820
15752,ADRO,2018-07-12,Low,1865
15753,ADRO,2018-07-13,Low,1825
15754,ADRO,2018-07-16,Low,1780
15755,ADRO,2018-07-17,Low,1755
15756,ADRO,2018-07-18,Low,1780
15757,ADRO,2018-07-19,Low,1860
15758,ADRO,2018-07-20,Low,1825
15759,ADRO,2018-07-23,Low,1800
15760,ADRO,2018-07-24,Low,1795
15761,ADRO,2018-07-25,Low,1810
15762,ADRO,2018-07-26,Low,1845
15763,ADRO,2018-07-27,Low,1840
15764,ADRO,2018-07-30,Low,2030
15765,ADRO,2018-07-31,Low,1880
15766,ADRO,2018-08-01,Low,1900
15767,ADRO,2018-08-02,Low,1925
15768,ADRO,2018-08-03,Low,1930
15769,ADRO,2018-08-06,Low,1950
15770,ADRO,2018-08-07,Low,1965
